canonical name,additional description
get_started,get started
bypass,go to the app without an account
perms_allow,allow permissions
signin_email,email filed when signing in
signin_username,username field when signing in
signin_password,password field when signing in
signin_username_or_email,input filed for signing in with either username or email
signin_email_or_phone,input field for signing in with either email or phone number
signin_continue,next button during the sign in process
sign_in,sign in button
signin_forget_pwd,forget password
signup_personal,sign up for a personal account
signup_business,sign up for a business account
signup_firstname,first name field when signing up
signup_lastname,last name field when signing up
signup_username,username field when signing up such as first name and last name together
signup_email,email field when signing up
signup_continue,continue in the sign up process
signup_confirm_email,confirm email field when signing up
signup_password,password field when signing up
signup_confirm_password,confirm password field when signing up
sign_up,sign up button
home_signin,jump from home screen to sign in dialog/screen
home_signup,jump from home screen to sign up dialog/screen
home_signin_or_signup,jump from home screen to sign in or sign up
account_signin,jump from account screen to sign in dialog/screen
signin_tosignin,jump from sign in dialog to sign in screen based on the chosen sign in method
signin_tosignup,jump from sign in screen/dialog to sign up screen based on the chosen sign up method
signup_tosignup,jump from sign up screen/dialog to sign up screen based on the chosen sign up method
signup_tosignin,jump from sign up to sign in
menu,jump to main menu
menu_settings,jump to settings
about,jump to about page
menu_account,jump to account or profile page
menu_more,more info
menu_signin,jump to sign in/up screen from the menu screen
search,search item and go to the search results
tosearch,go to search screen
category,jump to categories
cat_1,choose first category
help,jump to help page
search_bar,search bar that takes the input of searching keyword
filter,jump to filter options for the search result
filter_sort,choose sort filter
filter_price,choose sort by price
filter_rating,choose rating filter
filter_color,choose short by colors
filter_done,apply the chosen filter
item_1,jump to the first item's detailed page
add_cart,add item to cart
cart,jump to the shopping cart
cart_select_all,select all items in the shopping cart
cart_quantity,select the quantity of the item in the cart
cart_quantity_0,choose 0 quantity of the item in the cart to remove the item
cart_remove,remove item from the cart
cart_remove_confirm,confirm removing item from the cart
legal,jump to the legal terms page
contact,jump to the contact page
contact_name,contact name input field
minus,substract the amount
account_address,jump to address management page
address_add,add new address
address_street,street input field
address_state,state input field or choose the state
address_state_spinner,open the spinner to select a state 
address_city,city input field
address_city_selection,select a city from the spinner
address_zip,zipcode input field
address_phone,phone number input field
address_save,save address
skip,skip button
to_home,jump to home page
back,back button
